# svdvals of A, normalized by opnorm(A) 
    # opnorm_list, n_meas_list
a,b
1.0,1.0
0.9884303501670999,2.0
0.7038444149312644,3.0
0.6912881087448346,4.0
0.553836159414572,5.0
0.5307947201581078,6.0
0.46266251969144784,7.0
0.4335757858996018,8.0
0.3932026234150207,9.0
0.36411486521113456,10.0
0.3352931061584802,11.0
0.3113559584836654,12.0
0.2893838856242423,13.0
0.27019490492725207,14.0
0.25254441451865456,15.0
0.2370275518517969,16.0
0.22253986101872963,17.0
0.20974491473620543,18.0
0.19795595175064226,19.0
0.18722508915009164,20.0
0.17729102198457947,21.0
0.1682596410790195,22.0
0.1597796909443529,23.0
0.15200221428104435,24.0
0.144791574503031,25.0
0.1380567458826825,26.0
0.13175694811663896,27.0
0.1258726485061536,28.0
0.12036868218154928,29.0
0.11513137213645436,30.0
0.11024241007698582,31.0
0.10562636172177324,32.0
0.10128560607181092,33.0
0.09711864848936087,34.0
0.09323826130363054,35.0
0.08950804539772352,36.0
0.08597284271267279,37.0
0.08258875193334206,38.0
0.07940365594445768,39.0
0.07631295627825123,40.0
0.07338580909004036,41.0
0.0705813139893969,42.0
0.06789911895290875,43.0
0.0653044582391899,44.0
0.06283548687212807,45.0
0.06046361055000889,46.0
0.05816544419177352,47.0
0.05597365826801125,48.0
0.05386820776543495,49.0
0.05183311563023003,50.0
0.04986022577018332,51.0
0.047976470601300794,52.0
0.046135572479384955,53.0
0.04436739670584863,54.0
0.04265500443276762,55.0
0.04101477670703575,56.0
0.039404889044351306,57.0
0.03786790181663784,58.0
0.03637244654719658,59.0
0.03492517655618805,60.0
0.0335183784713372,61.0
0.032168065677413635,62.0
0.03084648318192313,63.0
0.029565156188251413,64.0
0.028330085740251587,65.0
0.02712610830097364,66.0
0.02596167702765427,67.0
0.024835975528150683,68.0
0.023748710324610726,69.0
0.022682913603546042,70.0
0.021660325319720238,71.0
0.02066013578771688,72.0
0.01969747347330399,73.0
0.018764023905863125,74.0
0.01786749631247265,75.0
0.016989514063497215,76.0
0.016148722172992205,77.0
0.015329629975071054,78.0
0.014538714849323314,79.0
0.01377289462914421,80.0
0.013036379978653518,81.0
0.012323655888642749,82.0
0.011641959280696123,83.0
0.010982640479815536,84.0
0.010346713483527083,85.0
0.00973871559942918,86.0
0.009153912900705328,87.0
0.008593989378769982,88.0
0.008055685739807474,89.0
0.007538721541632319,90.0
0.00704486298305716,91.0
0.006576953917117682,92.0
0.006128516778156611,93.0
0.005704192827020086,94.0
0.005297875351179693,95.0
0.004913860738684501,96.0
0.0045479384445130154,97.0
0.004203307842816925,98.0
0.0038774743561611007,99.0
0.00357219339003052,100.0
0.0032830717545143783,101.0
0.0030135236127462875,102.0
0.0027585207708492885,103.0
0.0025211975924429885,104.0
0.0023004566744650057,105.0
0.0020957404610379795,106.0
0.001904513930122557,107.0
0.0017275572559382172,108.0
0.001566013360565234,109.0
0.0014145129051886616,110.0
0.0012819354444608697,111.0
0.0011559110574716825,112.0
0.001038022826913899,113.0
0.0009619457872215494,114.0
0.0008254051665056112,115.0
0.0007866348548490119,116.0
0.0007256259988621102,117.0
0.0006027339440235034,118.0
0.0005994331983833762,119.0
0.00043918222704017993,120.0
0.00043728995474509656,121.0
0.000305887605965167,122.0
0.00030476304621215297,123.0
0.00020358115519239947,124.0
0.00020313105779926272,125.0
0.0001289773165013529,126.0
0.00012888512103328555,127.0
7.706417916952695e-5,128.0
7.705784891437924e-5,129.0
4.2917248058289156e-5,130.0
4.288132212382271e-5,131.0
2.1821443258585686e-5,132.0
2.179557837587569e-5,133.0
9.85223142336762e-6,134.0
9.830817079583405e-6,135.0
3.7582597510454246e-6,136.0
3.7470937425952613e-6,137.0
1.1061457774361741e-6,138.0
1.101682081863362e-6,139.0
2.0393449781993746e-7,140.0
2.0301674825207188e-7,141.0
8.029233873308622e-9,142.0
7.985857391850619e-9,143.0
1.0067934086583522e-21,144.0
2.3621842878445307e-23,145.0
