# accuracy of sparse recovery for different rho and max_level
    # rho_list, norm_list, opnorm_list, n_meas_list, max_level_list
a,b,c,d,e
1.0,0.8180391319674924,0.7108423077777252,2.0,1.0
1.0,0.7207545446848754,0.6491470832814981,3.0,2.0
1.0,0.5715497103920634,0.5197204151388909,5.0,3.0
1.0,0.43210957671315486,0.41816840551947276,7.0,4.0
1.0,0.3277569482419511,0.34608060941750757,9.0,5.0
1.0,0.2831813853867604,0.33895435209365216,11.0,6.0
1.0,0.3326670187995792,0.5147184630292873,13.0,7.0
1.0,0.33009982924771547,0.5147221203411124,15.0,8.0
1.0,0.32986797685058633,0.5150280596256593,17.0,9.0
1.0,0.33287600348973334,0.5149152885147691,18.0,10.0
2.0,0.8180391319674924,0.7108423077777252,2.0,1.0
2.0,0.7198533535433865,0.6524219625870585,4.0,2.0
2.0,0.5581191350681005,0.497378585495746,6.0,3.0
2.0,0.387938296512414,0.33894096815549285,9.0,4.0
2.0,0.24026535670062094,0.188570021645539,11.0,5.0
2.0,0.8080035892027639,1.8158441484617502,14.0,6.0
2.0,2.67059541050971,5.90538739031116,17.0,7.0
2.0,5.582203676416458,10.431359925289632,20.0,8.0
2.0,4.621057931471965,9.042492580657093,22.0,9.0
2.0,6.460951206061971,12.17308321114179,23.0,10.0
3.0,0.8180391319674924,0.7108423077777252,2.0,1.0
3.0,0.7198533535433865,0.6524219625870585,4.0,2.0
3.0,0.5563087909730997,0.4979259182658507,7.0,3.0
3.0,0.3827376599643429,0.3416318213160943,11.0,4.0
3.0,0.2180838773063921,0.1849606841402236,14.0,5.0
3.0,0.0943865194474441,0.08470272365834083,18.0,6.0
3.0,0.05161122673212631,0.040404056340826895,22.0,7.0
3.0,0.06370023622307901,0.06663710013315263,26.0,8.0
3.0,0.3066694801366346,0.6809260593813438,29.0,9.0
3.0,0.7205332542152098,1.489309594011281,31.0,10.0
4.0,0.8180391319674924,0.7108423077777252,2.0,1.0
4.0,0.7198533535433865,0.6524219625870585,4.0,2.0
4.0,0.556309222572834,0.4979448612190481,8.0,3.0
4.0,0.38256295651976663,0.3419393349314717,12.0,4.0
4.0,0.21715700576700206,0.187136880123993,16.0,5.0
4.0,0.09003094587859452,0.08581124033666604,21.0,6.0
4.0,0.048000808964350154,0.08229079741449682,25.0,7.0
4.0,0.04542246863497269,0.06567197531204125,29.0,8.0
4.0,0.0498658704575602,0.0871955832062539,33.0,9.0
4.0,0.06940194371352208,0.14588324277696027,35.0,10.0
5.0,0.8180391319674924,0.7108423077777252,2.0,1.0
5.0,0.7198533535433865,0.6524219625870585,4.0,2.0
5.0,0.556309222572834,0.4979448612190481,8.0,3.0
5.0,0.3825198706967253,0.3418973024601512,13.0,4.0
5.0,0.21693141427896948,0.18707552948890196,18.0,5.0
5.0,0.08895227953814076,0.08589864855967352,24.0,6.0
5.0,0.026487882157084544,0.027943262847281852,29.0,7.0
5.0,0.024436810492468465,0.04106646551387116,34.0,8.0
5.0,0.03703849808568812,0.07507024212508734,39.0,9.0
5.0,0.03673713192957024,0.07505813358241031,41.0,10.0
6.0,0.8180391319674924,0.7108423077777252,2.0,1.0
6.0,0.7198533535433865,0.6524219625870585,4.0,2.0
6.0,0.556309222572834,0.4979448612190481,8.0,3.0
6.0,0.38251260438749685,0.341885631120846,14.0,4.0
6.0,0.21691065562233175,0.18699393015159474,20.0,5.0
6.0,0.08874373437183096,0.0858537703489856,26.0,6.0
6.0,0.021601146432418106,0.025711319653121817,32.0,7.0
6.0,0.006100493616488073,0.006848749557723406,38.0,8.0
6.0,0.006545897196093356,0.006855537553966831,44.0,9.0
6.0,0.0066113879889005455,0.006857262435199663,47.0,10.0
7.0,0.8180391319674924,0.7108423077777252,2.0,1.0
7.0,0.7198533535433865,0.6524219625870585,4.0,2.0
7.0,0.556309222572834,0.4979448612190481,8.0,3.0
7.0,0.3825138481506234,0.34188843795386875,15.0,4.0
7.0,0.21690620650568695,0.18698982347710674,22.0,5.0
7.0,0.0887111530587024,0.08586033237613272,29.0,6.0
7.0,0.02125197859860259,0.025666726081219667,36.0,7.0
7.0,0.004803599692222168,0.0066807895763737815,43.0,8.0
7.0,0.005441753816417617,0.006680834381839124,50.0,9.0
7.0,0.006259505654909587,0.006819683711942838,53.0,10.0
8.0,0.8180391319674924,0.7108423077777252,2.0,1.0
8.0,0.7198533535433865,0.6524219625870585,4.0,2.0
8.0,0.556309222572834,0.4979448612190481,8.0,3.0
8.0,0.382513468824261,0.3418874263502372,16.0,4.0
8.0,0.21690489448671635,0.1869939503544588,24.0,5.0
8.0,0.08869327717768871,0.08586224250354862,32.0,6.0
8.0,0.021405413831174315,0.02569332552402419,40.0,7.0
8.0,0.005361932375526412,0.0067940278770258515,48.0,8.0
8.0,0.00606211667138925,0.007094574527229623,55.0,9.0
8.0,0.005290002070054827,0.0067940256040024795,58.0,10.0
9.0,0.8180391319674924,0.7108423077777252,2.0,1.0
9.0,0.7198533535433865,0.6524219625870585,4.0,2.0
9.0,0.556309222572834,0.4979448612190481,8.0,3.0
9.0,0.382513468824261,0.3418874263502372,16.0,4.0
9.0,0.21690599989792797,0.18699369868833612,25.0,5.0
9.0,0.08868032075768813,0.08586111483137941,34.0,6.0
9.0,0.020789608192381688,0.025662113232036377,43.0,7.0
9.0,0.0021907515705946305,0.0027274357832811438,52.0,8.0
9.0,0.0019714912805646662,0.002727896802627508,60.0,9.0
9.0,0.001993221058028827,0.0027281028957173857,63.0,10.0
10.0,0.8180391319674924,0.7108423077777252,2.0,1.0
10.0,0.7198533535433865,0.6524219625870585,4.0,2.0
10.0,0.556309222572834,0.4979448612190481,8.0,3.0
10.0,0.382513468824261,0.3418874263502372,16.0,4.0
10.0,0.2169053644016901,0.18699382204553353,26.0,5.0
10.0,0.08867874788538763,0.08586173297145377,36.0,6.0
10.0,0.02077005279500763,0.02570618156986081,46.0,7.0
10.0,0.0015541359984687026,0.001402582632228543,56.0,8.0
10.0,0.0012508455413531821,0.0014118860582260726,64.0,9.0
10.0,0.0012873990866138956,0.0014198754847643815,67.0,10.0
11.0,0.8180391319674924,0.7108423077777252,2.0,1.0
11.0,0.7198533535433865,0.6524219625870585,4.0,2.0
11.0,0.556309222572834,0.4979448612190481,8.0,3.0
11.0,0.382513468824261,0.3418874263502372,16.0,4.0
11.0,0.21690532870902934,0.18699416632259314,27.0,5.0
11.0,0.08867613298846912,0.08586192207839548,38.0,6.0
11.0,0.020741807029566576,0.025696959389646053,49.0,7.0
11.0,0.001327616216450834,0.0013786765892390134,59.0,8.0
11.0,0.0009256573954710302,0.00131889654646525,67.0,9.0
11.0,0.0009387194478718911,0.0013179647554728145,70.0,10.0
12.0,0.8180391319674924,0.7108423077777252,2.0,1.0
12.0,0.7198533535433865,0.6524219625870585,4.0,2.0
12.0,0.556309222572834,0.4979448612190481,8.0,3.0
12.0,0.382513468824261,0.3418874263502372,16.0,4.0
12.0,0.2169057429583341,0.1869954811847351,28.0,5.0
12.0,0.08867596321626033,0.08586194809831023,40.0,6.0
12.0,0.020734035100267636,0.02569533959864577,52.0,7.0
12.0,0.0012669618191400477,0.0013492825430815377,63.0,8.0
12.0,0.0011101030219482493,0.0018107597874047329,71.0,9.0
12.0,0.001179688404159523,0.002029489700487649,74.0,10.0
13.0,0.8180391319674924,0.7108423077777252,2.0,1.0
13.0,0.7198533535433865,0.6524219625870585,4.0,2.0
13.0,0.556309222572834,0.4979448612190481,8.0,3.0
13.0,0.382513468824261,0.3418874263502372,16.0,4.0
13.0,0.2169055930044076,0.18699392513329582,29.0,5.0
13.0,0.0886731832824606,0.08586184765412509,42.0,6.0
13.0,0.020732370532398493,0.02569517200436495,55.0,7.0
13.0,0.0019236440394300336,0.0036303272320590387,66.0,8.0
13.0,0.002041169924651119,0.004508944335361038,74.0,9.0
13.0,0.0019379474171817154,0.004263363845290579,77.0,10.0
14.0,0.8180391319674924,0.7108423077777252,2.0,1.0
14.0,0.7198533535433865,0.6524219625870585,4.0,2.0
14.0,0.556309222572834,0.4979448612190481,8.0,3.0
14.0,0.382513468824261,0.3418874263502372,16.0,4.0
14.0,0.216905661333456,0.18699426901213698,30.0,5.0
14.0,0.0886732342910038,0.085861774157987,44.0,6.0
14.0,0.020728571038499535,0.025699867491759915,57.0,7.0
14.0,0.0010570188685511033,0.0014063898096398756,69.0,8.0
14.0,0.0004910402804877951,0.000725017495455353,78.0,9.0
14.0,0.0006481482821711254,0.0012040804779952685,81.0,10.0
15.0,0.8180391319674924,0.7108423077777252,2.0,1.0
15.0,0.7198533535433865,0.6524219625870585,4.0,2.0
15.0,0.556309222572834,0.4979448612190481,8.0,3.0
15.0,0.382513468824261,0.3418874263502372,16.0,4.0
15.0,0.21690544839459833,0.18699407228747797,31.0,5.0
15.0,0.08867314637636393,0.08586188030978428,46.0,6.0
15.0,0.02072824597945472,0.025699737280083828,60.0,7.0
15.0,0.0010507976562595801,0.001403772949652766,72.0,8.0
15.0,0.00037561372342336414,0.0006102846511605097,81.0,9.0
15.0,0.0003757212747135904,0.0006104274666867667,84.0,10.0
