# random low rank approx of A 
    # nm_list, opnorm_list, n_meas_list
a,b,c
0.9372669534286605,0.999998869595222,1.0
0.8674610920917304,0.9999966025745279,2.0
0.8337153009136727,0.9663665103240296,3.0
0.7380864283451588,0.9511759646705167,4.0
0.6993272387079777,0.8862636621607912,5.0
0.693187119773999,0.9241938889702718,6.0
0.5945153348901364,0.5968378587505873,7.0
0.6321045929452628,0.8701365498936512,8.0
0.5418820975040078,0.5576769068121125,9.0
0.4952536745119769,0.5257144061348041,10.0
0.514423556484936,0.5214516973848325,11.0
0.466852775841331,0.4916529452509388,12.0
0.4267769819802306,0.39260373309494323,13.0
0.45623739549926506,0.5742533002895248,14.0
0.4026766002051035,0.4607176897637955,15.0
0.38181909032382505,0.35329713149738756,16.0
0.37976383236971106,0.3656375078969611,17.0
0.34758722395039177,0.38937694656193217,18.0
0.32268837503148184,0.3121509383530501,19.0
0.31190938678827773,0.29105252438712786,20.0
0.2125865827505807,0.19233632253115046,30.0
0.15583262347470594,0.12195463444930806,40.0
0.12486107740371818,0.10281392638783703,50.0
0.09899225450127558,0.06550530641050017,60.0
0.07920693953038738,0.04831990554475716,70.0
0.06955057203599894,0.04500419876244556,80.0
0.058340842963361374,0.03827990548356129,90.0
0.05206069759157262,0.03417908534082239,100.0
0.0452592591940711,0.027255937548017934,110.0
0.038338530753989644,0.02071364098962766,120.0
0.034771904941557616,0.01924180615862824,130.0
0.03193302126868817,0.016610672231940248,140.0
0.027840700994862497,0.014875278075756258,150.0
0.025668450569500314,0.01254103441735682,160.0
0.02364063497699828,0.011829071686076869,170.0
0.02151389432257497,0.010367776262219183,180.0
0.01946332131950252,0.008985117033513174,190.0
0.01792995287909235,0.008199991513637806,200.0
0.012659464440370433,0.005655902300007295,250.0
0.009129306608144303,0.0033579125611419712,300.0
0.006982274614320346,0.0026151752332252568,350.0
0.00546530851224732,0.0020489455871204047,400.0
0.004259773952851823,0.0015377796153972813,450.0
0.0034284107979692968,0.0011671547321134507,500.0
