# accuracy of sparse recovery for different rho and max_level
    # rho_list, norm_list, opnorm_list, n_meas_list, max_level_list
1.0,0.8049501243709049,0.9999957910886057,2.0,1.0
1.0,0.6542603746644651,0.689411723066493,3.0,2.0
1.0,0.5846398620015071,0.674976153564515,4.0,3.0
1.0,0.48918903404978703,0.6205682945279771,5.0,4.0
1.0,2.1522045185616396,4.68863291850763,7.0,5.0
1.0,1.2192920895290673,2.3411030030174604,9.0,6.0
1.0,2.9065732772027126,5.978501631110058,10.0,7.0
1.0,4.187438915334679,8.09343712687562,11.0,8.0
1.0,34.235266757998374,73.87070425942449,12.0,9.0
2.0,0.8049501243709049,0.9999957910886057,2.0,1.0
2.0,0.6100183843226303,0.5585338377245307,4.0,2.0
2.0,0.5251031930162919,0.4906809206241683,6.0,3.0
2.0,0.3835486764239348,0.3377279390816658,8.0,4.0
2.0,0.28196278090372684,0.2361394981687255,10.0,5.0
2.0,0.41664987227382366,0.7140768377162268,12.0,6.0
2.0,465.3645936481578,1031.7558799219537,14.0,7.0
2.0,21048.4263513182,37327.5790590155,16.0,8.0
2.0,33547.61537675268,66132.21778489249,18.0,9.0
3.0,0.8049501243709049,0.9999957910886057,2.0,1.0
3.0,0.6100183843226303,0.5585338377245307,4.0,2.0
3.0,0.52492453468059,0.4901851068340453,8.0,3.0
3.0,0.37917730401917177,0.34023915482330075,13.0,4.0
3.0,4.106515232612077,9.09867087193078,17.0,5.0
3.0,32.90837609787474,69.98218191448662,22.0,6.0
3.0,16419.823774634177,36445.6093565536,26.0,7.0
3.0,1.463197767207244e7,3.2444515894842703e7,31.0,8.0
3.0,3.3485193943858063e10,7.432956946802493e10,34.0,9.0
4.0,0.8049501243709049,0.9999957910886057,2.0,1.0
4.0,0.6100183843226303,0.5585338377245307,4.0,2.0
4.0,0.52492453468059,0.4901851068340453,8.0,3.0
4.0,0.3791818188433232,0.33983450436971074,12.0,4.0
4.0,0.21696926534194216,0.17317763105977962,16.0,5.0
4.0,0.7190751588479513,1.5762236672087109,20.0,6.0
4.0,2.464847771540373,5.208886282939199,24.0,7.0
4.0,91.20538992225748,142.39156350549533,28.0,8.0
4.0,2051.678492676311,4428.209509453009,33.0,9.0
5.0,0.8049501243709049,0.9999957910886057,2.0,1.0
5.0,0.6100183843226303,0.5585338377245307,4.0,2.0
5.0,0.52492453468059,0.4901851068340453,8.0,3.0
5.0,0.37917760834359254,0.3396808627799488,16.0,4.0
5.0,0.2122432712549707,0.17336386064942264,22.0,5.0
5.0,1.7778352204995396,3.9337444092213274,29.0,6.0
5.0,1.116887273313113e7,2.4790814211050984e7,38.0,7.0
5.0,1.637399926713501e11,3.6346585289152954e11,44.0,8.0
5.0,6.006294139571953e20,1.3332618348164214e21,49.0,9.0
6.0,0.8049501243709049,0.9999957910886057,2.0,1.0
6.0,0.6100183843226303,0.5585338377245307,4.0,2.0
6.0,0.52492453468059,0.4901851068340453,8.0,3.0
6.0,0.37917760834359254,0.3396808627799488,16.0,4.0
6.0,0.2122407773236817,0.17335435157683682,26.0,5.0
6.0,0.09559428194576387,0.06724516205476178,34.0,6.0
6.0,0.035906615774458306,0.019907927885629822,44.0,7.0
6.0,286.17480117766917,631.9398510256087,52.0,8.0
6.0,181.9672284808438,331.80120946164476,56.0,9.0
7.0,0.8049501243709049,0.9999957910886057,2.0,1.0
7.0,0.6100183843226303,0.5585338377245307,4.0,2.0
7.0,0.52492453468059,0.4901851068340453,8.0,3.0
7.0,0.37917760834359254,0.3396808627799488,16.0,4.0
7.0,0.2122396242613702,0.17336374342141095,25.0,5.0
7.0,0.09499414268803194,0.06726337992423197,36.0,6.0
7.0,0.03537114236985453,0.021633437516239622,44.0,7.0
7.0,93.56597571516761,207.4571535679457,52.0,8.0
7.0,7161.02444687632,15705.270561024141,57.0,9.0
8.0,0.8049501243709049,0.9999957910886057,2.0,1.0
8.0,0.6100183843226303,0.5585338377245307,4.0,2.0
8.0,0.52492453468059,0.4901851068340453,8.0,3.0
8.0,0.37917760834359254,0.3396808627799488,16.0,4.0
8.0,0.2122433078143578,0.1733695345747154,24.0,5.0
8.0,0.09526631493818347,0.06726272212737042,32.0,6.0
8.0,0.04552012448842079,0.05926264960376427,40.0,7.0
8.0,11.263214301666462,24.284614587481084,49.0,8.0
8.0,415551.2223820897,663902.9583135035,57.0,9.0
9.0,0.8049501243709049,0.9999957910886057,2.0,1.0
9.0,0.6100183843226303,0.5585338377245307,4.0,2.0
9.0,0.52492453468059,0.4901851068340453,8.0,3.0
9.0,0.37917760834359254,0.3396808627799488,16.0,4.0
9.0,0.21224356428360625,0.1733694252055649,32.0,5.0
9.0,0.09505395362841895,0.06726194773428487,46.0,6.0
9.0,0.03299520476047508,0.01991869251230743,57.0,7.0
9.0,0.00700924604758876,0.003768365961362074,66.0,8.0
9.0,4.891315636822563,10.824998581583474,71.0,9.0
10.0,0.8049501243709049,0.9999957910886057,2.0,1.0
10.0,0.6100183843226303,0.5585338377245307,4.0,2.0
10.0,0.52492453468059,0.4901851068340453,8.0,3.0
10.0,0.37917760834359254,0.3396808627799488,16.0,4.0
10.0,0.21224356428360625,0.1733694252055649,32.0,5.0
10.0,0.09505938016523507,0.06726622116648119,44.0,6.0
10.0,0.03301092307666577,0.019917678231437117,60.0,7.0
10.0,0.007145916722511191,0.003772419770531186,71.0,8.0
10.0,31.977556958058038,66.628999013285,80.0,9.0
11.0,0.8049501243709049,0.9999957910886057,2.0,1.0
11.0,0.6100183843226303,0.5585338377245307,4.0,2.0
11.0,0.52492453468059,0.4901851068340453,8.0,3.0
11.0,0.37917760834359254,0.3396808627799488,16.0,4.0
11.0,0.21224356428360625,0.1733694252055649,32.0,5.0
11.0,0.09505938418534798,0.06726623578117684,53.0,6.0
11.0,0.033061992850017964,0.0199173871194974,67.0,7.0
11.0,0.008860248201427865,0.010586659775851699,78.0,8.0
11.0,0.28617904633834007,0.6316231267436964,89.0,9.0
12.0,0.8049501243709049,0.9999957910886057,2.0,1.0
12.0,0.6100183843226303,0.5585338377245307,4.0,2.0
12.0,0.52492453468059,0.4901851068340453,8.0,3.0
12.0,0.37917760834359254,0.3396808627799488,16.0,4.0
12.0,0.21224356428360625,0.1733694252055649,32.0,5.0
12.0,0.09505938380573421,0.06726622858169198,52.0,6.0
12.0,0.03298858508942666,0.019917497431251693,72.0,7.0
12.0,0.006758183164272538,0.003771484391728793,90.0,8.0
12.0,3.115150058016153,6.914930244100756,99.0,9.0
13.0,0.8049501243709049,0.9999957910886057,2.0,1.0
13.0,0.6100183843226303,0.5585338377245307,4.0,2.0
13.0,0.52492453468059,0.4901851068340453,8.0,3.0
13.0,0.37917760834359254,0.3396808627799488,16.0,4.0
13.0,0.21224356428360625,0.1733694252055649,32.0,5.0
13.0,0.09505938268302346,0.06726623520912847,51.0,6.0
13.0,0.0329877120450286,0.019917531335673835,67.0,7.0
13.0,0.006757525766357057,0.003771637452494907,81.0,8.0
13.0,0.11657733863245126,0.25764516761465334,88.0,9.0
14.0,0.8049501243709049,0.9999957910886057,2.0,1.0
14.0,0.6100183843226303,0.5585338377245307,4.0,2.0
14.0,0.52492453468059,0.4901851068340453,8.0,3.0
14.0,0.37917760834359254,0.3396808627799488,16.0,4.0
14.0,0.21224356428360625,0.1733694252055649,32.0,5.0
14.0,0.09505938507434457,0.06726623549263092,50.0,6.0
14.0,0.032987829199654074,0.019917510994421662,75.0,7.0
14.0,0.006758357354075259,0.0037716578523569054,91.0,8.0
14.0,0.002622144133806442,0.004305898335346646,101.0,9.0
15.0,0.8049501243709049,0.9999957910886057,2.0,1.0
15.0,0.6100183843226303,0.5585338377245307,4.0,2.0
15.0,0.52492453468059,0.4901851068340453,8.0,3.0
