# svdvals of A, normalized by opnorm(A) 
    # opnorm_list, n_meas_list
a,b
1.0,1.0
0.9954898775024899,2.0
0.5563986264891492,3.0
0.5422757990864838,4.0
0.33723722378348997,5.0
0.32244757311577016,6.0
0.22370404158589724,7.0
0.21292665868777894,8.0
0.16216967710388083,9.0
0.15464056893117192,10.0
0.1246718692106971,11.0
0.1191720061753667,12.0
0.09965443238446657,13.0
0.09551139594449244,14.0
0.0819880647943288,15.0
0.0788820892987825,16.0
0.06926716257014344,17.0
0.06674055172172569,18.0
0.059638476245755065,19.0
0.05754924021847682,20.0
0.052079233430419605,21.0
0.050324862570445876,22.0
0.0459777908242514,23.0
0.04451029535024615,24.0
0.04094835729660803,25.0
0.03971861784206012,26.0
0.036781150040462056,27.0
0.03569939600141375,28.0
0.033275297996714845,29.0
0.03232936866898176,30.0
0.030264931742325373,31.0
0.029424047192588117,32.0
0.027682482293771467,33.0
0.02690621457756388,34.0
0.02542824627112978,35.0
0.024716156005840418,36.0
0.023440354681765387,37.0
0.022786407689062097,38.0
0.021672336252961652,39.0
0.0210797567283363,40.0
0.020096308187301896,41.0
0.019554295663482858,42.0
0.018688739997703728,43.0
0.018189188140350126,44.0
0.01742041989065725,45.0
0.016964028836306936,46.0
0.016281201073042074,47.0
0.015855113332753364,48.0
0.015248815846418325,49.0
0.01485001794653693,50.0
0.014308025768381543,51.0
0.013941129261705461,52.0
0.013449030559606162,53.0
0.013112592113319648,54.0
0.012666732325984233,55.0
0.012353326965305821,56.0
0.011950190570969887,57.0
0.011661709696648417,58.0
0.011297783891754069,59.0
0.011031981396952138,60.0
0.01070447970962194,61.0
0.010457928204433408,62.0
0.010164271025557184,63.0
0.009935401369457189,64.0
0.009673031568843147,65.0
0.009464119775829434,66.0
0.009227815427453219,67.0
0.009039078089228644,68.0
0.008826874658025011,69.0
0.008658786408082627,70.0
0.008470260363676457,71.0
0.008320433629249037,72.0
0.008156124397371012,73.0
0.00802603143538535,74.0
0.007884841961770167,75.0
0.007773120809154804,76.0
0.007655841500818474,77.0
0.007563233099800893,78.0
0.007464670907418203,79.0
0.007396670541701752,80.0
0.007345849576325761,81.0
0.007287240597824374,82.0
0.007173489110028629,83.0
0.007137665149260949,84.0
0.00713684596026729,85.0
0.007048041487518023,86.0
0.00689270057737369,87.0
0.006813457110328403,88.0
0.006812956448803101,89.0
0.006744615451870691,90.0
0.006574239172262146,91.0
0.006458967334530818,92.0
0.006458482186224842,93.0
0.006415736181354096,94.0
0.006239314733064043,95.0
0.006105204904166606,96.0
0.006104599941329383,97.0
0.006075201256705318,98.0
0.00589440282037737,99.0
0.005767540742376657,100.0
0.00576663439941016,101.0
0.00572668965183699,102.0
0.005545272508608689,103.0
0.00545420906206222,104.0
0.005452862940749045,105.0
0.005378094418191549,106.0
0.005199322221070541,107.0
0.005168313723374064,108.0
0.005166443259405783,109.0
0.005034364071914024,110.0
0.004906550787370788,111.0
0.00490423671546882,112.0
0.004858027328998919,113.0
0.004694970469333848,114.0
0.004522768978344992,115.0
0.004360239900729698,116.0
0.004193878687981245,117.0
0.004033733794436014,118.0
0.0038715516926057245,119.0
0.0037162864077927016,120.0
0.0035599833145254995,121.0
0.003409494494218566,122.0
0.0032591857254363962,123.0
0.0031130903246713794,124.0
0.00297016628494438,125.0
0.0028288818673663546,126.0
0.002692621330485834,127.0
0.0025581184921665123,128.0
0.0024310033814949296,129.0
0.0024296016114977613,130.0
0.002304770736840983,131.0
0.0022927899633653397,132.0
0.002184220792708152,133.0
0.0020687061537734896,134.0
0.0019620180431876343,135.0
0.0018588925219213855,136.0
0.0017635395316569107,137.0
0.0016713292796345122,138.0
0.0015671181034164954,139.0
0.0014287355384229544,140.0
0.0012474323513308116,141.0
0.0010286963277227439,142.0
0.0007675072858073028,143.0
0.0004454421551577657,144.0
4.3616291443508307e-7,145.0
