# accuracy of sparse recovery for different rho and max_level
    # rho_list, norm_list, opnorm_list, n_meas_list, max_level_list
a,b,c,d,e
1.0,0.6235121449100712,0.5762505187641658,2.0,1.0
1.0,0.5315076213858543,0.49667946958070897,3.0,2.0
1.0,0.39160700741529897,0.35331364770314133,5.0,3.0
1.0,0.2715520632747961,0.21357485653907385,7.0,4.0
1.0,0.22548122741157653,0.17212240708475568,9.0,5.0
1.0,0.20360775236174497,0.16090962952881901,11.0,6.0
1.0,0.3836614081245335,0.5601565742138238,13.0,7.0
1.0,0.38062246871812255,0.5686517677535753,15.0,8.0
1.0,0.37966927397917166,0.5685007528897644,17.0,9.0
1.0,0.37953505863596365,0.5685061504009687,18.0,10.0
1.5,0.6235121449100712,0.5762505187641658,2.0,1.0
1.5,0.5263497591140709,0.4945575383861498,4.0,2.0
1.5,0.3794756261352938,0.3570922614977191,6.0,3.0
1.5,0.23489732870377567,0.20127644045809642,8.0,4.0
1.5,0.15682905652316065,0.10585548841443271,10.0,5.0
1.5,0.16554167389025568,0.19786819452122445,12.0,6.0
1.5,0.1782026871731574,0.19784121281016237,14.0,7.0
1.5,0.17677269016693406,0.19784116675934638,16.0,8.0
1.5,0.17600204885696574,0.19784093156255622,18.0,9.0
1.5,0.17596713853862062,0.19784093730275712,19.0,10.0
2.0,0.6235121449100712,0.5762505187641658,2.0,1.0
2.0,0.5263497591140709,0.4945575383861498,4.0,2.0
2.0,0.3794756261352938,0.3570922614977191,6.0,3.0
2.0,0.23376350135058915,0.20123305038028627,9.0,4.0
2.0,0.15091870491802623,0.10591033871579122,11.0,5.0
2.0,0.20933367557371105,0.30673487815737205,14.0,6.0
2.0,0.2030741448616287,0.3050029713779777,17.0,7.0
2.0,0.20168525942767332,0.3050501523465638,20.0,8.0
2.0,0.20102786126145397,0.30510071650810666,22.0,9.0
2.0,0.20099059528354202,0.3051009639333944,23.0,10.0
2.5,0.6235121449100712,0.5762505187641658,2.0,1.0
2.5,0.5263497591140709,0.4945575383861498,4.0,2.0
2.5,0.3771406887753051,0.35642256762333624,7.0,3.0
2.5,0.22711385254800662,0.20072901635895013,10.0,4.0
2.5,0.13191247001290166,0.10922625856313677,13.0,5.0
2.5,0.4146520901616228,0.7007879699833715,16.0,6.0
2.5,0.4106439292929364,0.7009255583252709,19.0,7.0
2.5,0.4098455257265294,0.7009258297749135,22.0,8.0
2.5,0.40948504000746433,0.7009255966919141,25.0,9.0
2.5,0.4094188652623147,0.700925547921776,27.0,10.0
3.0,0.6235121449100712,0.5762505187641658,2.0,1.0
3.0,0.5263497591140709,0.4945575383861498,4.0,2.0
3.0,0.3771406887753051,0.35642256762333624,7.0,3.0
3.0,0.22690975302766456,0.20075599237488115,11.0,4.0
3.0,0.13154691323228077,0.10921263870791556,14.0,5.0
3.0,0.20921197753902412,0.3366234260108837,18.0,6.0
3.0,0.4677842180043352,0.8121936197872573,22.0,7.0
3.0,0.4670535915144219,0.8121971395681581,26.0,8.0
3.0,0.46673948889442873,0.8121982192585182,29.0,9.0
3.0,0.46668175750335716,0.8121979926949783,31.0,10.0
3.5,0.6235121449100712,0.5762505187641658,2.0,1.0
3.5,0.5263497591140709,0.4945575383861498,4.0,2.0
3.5,0.3770375821754356,0.35637307823095177,8.0,3.0
3.5,0.2258832327342191,0.20018394265115366,12.0,4.0
3.5,0.12930034871902665,0.109247428972233,16.0,5.0
3.5,0.06801901175339213,0.04902100929545207,20.0,6.0
3.5,0.03637318851432605,0.017635665261001982,24.0,7.0
3.5,0.025289025101682044,0.01591609538354514,28.0,8.0
3.5,0.018631335975942635,0.015916283643336505,32.0,9.0
3.5,0.017130280961951953,0.015916986056847462,34.0,10.0
4.0,0.6235121449100712,0.5762505187641658,2.0,1.0
4.0,0.5263497591140709,0.4945575383861498,4.0,2.0
4.0,0.3770375821754356,0.35637307823095177,8.0,3.0
4.0,0.2258832327342191,0.20018394265115366,12.0,4.0
4.0,0.12930034871902665,0.109247428972233,16.0,5.0
4.0,0.0677084748773616,0.0490211115909643,21.0,6.0
4.0,0.035989209588932786,0.01763525602088437,25.0,7.0
4.0,0.024695388691846284,0.013275798544839205,29.0,8.0
4.0,0.017780286521178308,0.013276830879885512,33.0,9.0
